Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Partitions, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB
TOUCH,5,1000,1000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,0,0,761500,0,0,0,153,0,0.006,0,0.001,0.003,0.001,0.014,0,0.051,0,0,0.014,0,88.2353,846,49.8235,199.044,3,3
cTOUCH,5,1000,1000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,4,0.0004,96,0,0,0,952,346,0.005,0,0.003,0.001,0.001,0.028,0,0.074,0,0,0.028,0,87.0968,622,22.6452,109.828,63,63
reTOUCH,5,1000,1000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,0,0,160,0,0,0,992,902,0.009,0,0.002,0,0,0.001,0,0.026,0,0,0,0,170.588,32,6.23529,10.4292,52,52
TOUCH,5,1000,1000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,0,0,761500,0,0,0,153,0,0.009,0,0.001,0.005,0.002,0.011,0,0.054,0,0,0.011,0,88.2353,846,49.8235,199.044,3,3
cTOUCH,5,1000,1000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,4,0.0004,96,0,0,0,952,346,0.004,0,0.002,0,0,0.029,0,0.075,0,0,0.028,0.001,87.0968,622,22.6452,109.828,63,63
reTOUCH,5,1000,1000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,0,0,160,0,0,0,992,902,0.008,0,0.002,0,0,0.001,0,0.029,0,0.001,0.001,0,170.588,32,6.23529,10.4292,52,52
TOUCH,5,4000,4000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,6559,0.0409938,15066400,0,62,0.0003875,148,0,0.018,0,0.003,0.039,0.031,0.052,0,0.225,0,0,0.052,0,93.5484,3632,62.129,457.731,5,5
cTOUCH,5,4000,4000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,138274,0.864213,61562,0,62,0.0003875,3300,1270,0.019,0,0.01,0.507,0.504,0.117,0,1.318,0.001,0,0.115,0.004,83.3333,1915,28.5833,184.938,241,241
dTOUCH,5,4000,4000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,5340,0.033375,2355970,0,62,0.0003875,3189,148,0.018,0,0.003,0.031,0.027,0.041,0,0.203,0,0,0.039,0.004,92.623,445,6.86066,44.9047,10,10
reTOUCH,5,4000,4000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1409,0.00880625,287851,0,62,0.0003875,3561,747,0.017,0,0.007,0.014,0.012,0.004,0,0.094,0,0,0.003,0.004,166.129,1720,59.5484,220.599,187,187
TOUCH,5,4000,4000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,6559,0.0409938,15066400,0,62,0.0003875,148,0,0.02,0,0.003,0.038,0.03,0.053,0,0.23,0,0,0.053,0,93.5484,3632,62.129,457.731,5,5
cTOUCH,5,4000,4000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,138274,0.864213,61562,0,62,0.0003875,3300,1270,0.017,0,0.009,0.507,0.503,0.119,0,1.314,0,0,0.117,0.004,83.3333,1915,28.5833,184.938,241,241
dTOUCH,5,4000,4000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,5340,0.033375,2355970,0,62,0.0003875,3189,148,0.024,0,0.003,0.031,0.028,0.042,0,0.218,0,0,0.041,0.003,92.623,445,6.86066,44.9047,10,10
reTOUCH,5,4000,4000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1409,0.00880625,287851,0,62,0.0003875,3561,747,0.018,0,0.007,0.014,0.011,0.004,0,0.097,0,0,0.003,0.004,166.129,1720,59.5484,220.599,187,187
TOUCH,5,5000,5000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,6664,0.026656,19779600,0,62,0.000248,666,0,0.021,0,0.003,0.039,0.031,0.064,0,0.254,0,0,0.063,0,92.1053,3532,57.0263,411,7,7
cTOUCH,5,5000,5000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,86691,0.346764,36530,0,62,0.000248,4464,2962,0.022,0,0.012,0.311,0.309,0.151,0,0.996,0,0,0.148,0.002,84.3137,1561,16.8235,127.784,307,307
dTOUCH,5,5000,5000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,5398,0.021592,2563476,0,62,0.000248,4163,666,0.022,0,0.004,0.032,0.027,0.05,0,0.236,0,0,0.049,0.005,91.6084,452,6,41.8128,13,13
reTOUCH,5,5000,5000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1774,0.007096,234062,0,62,0.000248,4549,1351,0.021,0,0.009,0.018,0.014,0.004,0,0.114,0,0,0.003,0.004,167.105,2054,53.9474,236.389,229,229
TOUCH,5,6000,6000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,8340,0.0231667,27823700,0,74,0.000205556,849,0,0.024,0,0.005,0.048,0.039,0.08,0,0.317,0,0,0.079,0,92.3077,4602,56.6044,480.86,8,8
cTOUCH,5,6000,6000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,320532,0.890367,286565,0,74,0.000205556,4864,1270,0.025,0,0.015,1.144,1.136,0.183,0,2.747,0,0,0.18,0.006,87.9121,4106,32.2308,306.268,365,365
dTOUCH,5,6000,6000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,6192,0.0172,2991106,0,74,0.000205556,5062,849,0.03,0,0.004,0.043,0.036,0.059,0,0.294,0,0,0.057,0.007,92.638,384,9.02454,49.6797,13,13
reTOUCH,5,6000,6000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1885,0.00523611,293292,0,74,0.000205556,5086,2132,0.028,0,0.01,0.02,0.016,0.005,0,0.141,0,0,0.004,0.006,159.341,550,52.5495,100.272,274,274
TOUCH,5,7000,7000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,8742,0.0178408,19802500,0,79,0.000161224,1027,0,0.027,0,0.006,0.053,0.042,0.094,0,0.365,0,0,0.093,0,85.8491,2138,56.3491,266.914,16,16
cTOUCH,5,7000,7000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,232715,0.474929,146960,0,79,0.000161224,5690,1887,0.033,0,0.018,0.856,0.85,0.214,0,2.258,0,0,0.21,0.007,86.3208,2825,30.2972,215.8,425,425
dTOUCH,5,7000,7000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,7020,0.0143265,3406470,0,79,0.000161224,5853,1027,0.036,0,0.005,0.046,0.036,0.057,0,0.308,0,0,0.057,0.01,85.3659,1252,21.25,116.86,25,25
reTOUCH,5,7000,7000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1880,0.00383673,402476,0,58,0.000118367,5743,1887,0.027,0,0.012,0.023,0.014,0.005,0,0.152,0,0,0.004,0.008,153.774,697,60.0943,118.157,319,319
TOUCH,15,4000,4000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,112066,0.700412,15199500,0,174,0.0010875,105,0,0.016,0,0.003,0.451,0.435,0.054,0,1.048,0,0,0.054,0,93.5484,3668,62.8226,462.184,5,5
cTOUCH,15,4000,4000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,231004,1.44378,127573,0,174,0.0010875,3172,1087,0.018,0,0.01,0.827,0.822,0.119,0,1.958,0,0,0.117,0.004,85,2200,31.175,209.133,241,241
dTOUCH,15,4000,4000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,182858,1.14286,2732712,0,174,0.0010875,3082,105,0.018,0,0.003,0.695,0.686,0.043,0,1.536,0,0,0.042,0.008,91.8033,569,7.90984,53.9254,11,11
reTOUCH,15,4000,4000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,5912,0.03695,458112,0,174,0.0010875,3228,526,0.016,0,0.007,0.035,0.033,0.004,0,0.142,0,0,0.003,0.008,170.968,1548,68.4839,215.2,187,187
TOUCH,15,5000,5000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,111934,0.447736,20622000,0,174,0.000696,548,0,0.022,0,0.003,0.427,0.411,0.065,0,1.034,0,0,0.065,0,93.4211,3760,58.5789,434.205,6,6
cTOUCH,15,5000,5000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,147896,0.591584,64775,0,174,0.000696,4445,2301,0.026,0,0.012,0.529,0.527,0.153,0,1.452,0.002,0,0.151,0.004,82.3529,2060,21.268,167.313,307,307
dTOUCH,15,5000,5000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,191323,0.765292,2836356,0,174,0.000696,4082,548,0.026,0,0.004,0.717,0.707,0.053,0,1.618,0,0,0.05,0.01,93.0556,569,6.51389,50.5919,11,11
reTOUCH,15,5000,5000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,6365,0.02546,517188,0,174,0.000696,4209,1098,0.023,0,0.008,0.038,0.033,0.004,0,0.164,0,0,0.003,0.007,175,2014,61.75,238.156,229,229
TOUCH,15,6000,6000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,143474,0.398539,28286000,0,195,0.000541667,702,0,0.025,0,0.005,0.538,0.522,0.079,0,1.296,0,0,0.078,0,93.4066,4676,58.2198,488.857,7,7
cTOUCH,15,6000,6000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,395138,1.09761,924949,0,195,0.000541667,4772,951,0.026,0,0.017,1.435,1.42,0.182,0,3.334,0,0,0.179,0.006,86.8132,3473,34.489,264.538,365,365
dTOUCH,15,6000,6000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,270968,0.752689,3382806,0,195,0.000541667,4697,702,0.025,0,0.005,1.025,1.007,0.057,0,2.242,0,0,0.056,0.018,92.0245,406,11.7178,56.9916,14,14
reTOUCH,15,6000,6000,../data/RawData-segment-object-1M-Axons.bin,../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,8084,0.0224556,848753,0,195,0.000541667,4779,1643,0.026,0,0.011,0.049,0.047,0.005,0,0.206,0.002,0,0.004,0.009,172.527,871,61.2967,147.447,274,274
